token_symbol,fallback_provider_unavailable,true_data_gap,expected_post_delisting_missing,low_liquidity_fallback,suspicious_fallback_spike,fallback_exchange,fallback_pair,fallback_rows_count,fallback_quote_volume,reason,notes
SOMI,no,no,no,no,no,,,0,,,
SOPH,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
SPK,no,no,no,no,no,,,0,,,
SRM,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
SSV,no,no,no,no,no,,,0,,,
STEEM,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
STG,no,no,no,no,no,,,0,,,
STMX,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
STO,no,no,no,no,no,,,0,,,
STORJ,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
STPT,no,yes,no,no,no,,,0,,true_data_gap,
STRAX,no,no,no,no,no,,,0,,,
STRK,no,yes,no,no,no,,,0,,true_data_gap,
STX,no,no,no,no,no,,,0,,,
SUI,no,no,no,no,no,,,0,,,
SUN,no,no,no,no,no,,,0,,,
SUPER,no,no,no,no,no,,,0,,,
SWELL,no,no,no,no,no,,,0,,,
SXP,yes,no,yes,no,no,ccxt_gateio,SXP/USDT,965,354438572.39165205,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable,
SXT,no,no,no,no,no,,,0,,,
SYN,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
SYRUP,no,yes,no,no,no,,,0,,true_data_gap,
SYS,yes,yes,yes,no,no,ccxt_gateio,SYS/USDT,986,92934893.75852367,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
TANSSI,no,no,no,no,no,,,0,,,
TAO,no,yes,no,no,no,,,0,,true_data_gap,
TFUEL,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
THE,no,no,no,no,no,,,0,,,
THETA,no,no,no,no,no,,,0,,,
TIA,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
TKO,no,no,no,no,no,,,0,,,
TLM,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
TNSR,no,yes,no,no,no,,,0,,true_data_gap,
TOKEN,no,no,no,no,no,,,0,,,
TOMO,no,yes,no,no,no,,,0,,true_data_gap,
TON,no,yes,no,no,no,,,0,,true_data_gap,
TORN,no,no,no,no,yes,ccxt_mexc,TORN/USDT,130,7862737.353285,,manual_review_recommended
TOWNS,no,no,no,no,no,,,0,,,
TRB,no,no,no,no,no,,,0,,,
TREE,no,no,no,no,no,,,0,,,
TROY,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
TRU,yes,yes,yes,no,no,ccxt_gateio,TRU/USDT,405,98709421.00377786,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
TRUMP,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
TRX,no,yes,no,no,no,,,0,,true_data_gap,
TST,no,yes,no,no,no,,,0,,true_data_gap,
TURBO,no,yes,no,no,no,,,0,,true_data_gap,
TURTLE,no,no,no,no,no,,,0,,,
TUSD,no,no,no,no,no,,,0,,,
TWT,no,no,no,no,no,,,0,,,
UFT,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
UMA,no,no,no,no,no,,,0,,,
UNFI,no,no,no,no,no,ccxt_gateio,UNFI/USDT,494,463645597.12056434,,
UNI,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
USTC,no,no,no,no,no,,,0,,,
USUAL,no,yes,no,no,no,,,0,,true_data_gap,
UTK,no,yes,no,no,no,,,0,,true_data_gap,
UXLINK,no,no,no,no,no,,,0,,,
VAI,no,no,no,no,yes,ccxt_mexc,VAI/USDT,163,42069308.0109594,,manual_review_recommended
VANA,no,no,no,no,no,,,0,,,
VANRY,no,no,no,no,no,,,0,,,
VELODROME,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
VET,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
VFY,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
VGX,no,no,no,no,no,ccxt_gateio,VGX/USDT,130,215736834.1217529,,
VIB,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
VIC,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
VIDT,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
VINE,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
VITE,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
VOXEL,no,no,no,no,no,ccxt_gateio,VOXEL/USDT,909,696221416.3988881,,
VTHO,no,no,no,no,no,,,0,,,
WAN,yes,no,yes,no,no,ccxt_kucoin,WAN/USDT,544,20126804.061394945,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable,
WAVES,no,no,no,no,no,ccxt_bybit,WAVES/USDT,366,643018727.459042,,
WAXP,no,no,no,no,no,,,0,,,
WCT,no,no,no,no,no,,,0,,,
WIF,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
WIN,no,no,no,no,no,,,0,,,
WING,no,no,no,no,no,ccxt_gateio,WING/USDT,677,59818905.32288198,,
WLFI,no,yes,no,no,no,,,0,,true_data_gap,
WNXM,no,no,no,no,no,ccxt_mexc,WNXM/USDT,191,8920231.3928,,
WOO,no,no,no,no,no,,,0,,,
WRX,no,no,no,no,no,ccxt_gateio,WRX/USDT,550,25616526.51511764,,
WTC,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
XAI,no,no,no,no,no,,,0,,,
XCN,no,no,no,no,no,,,0,,,
XEC,no,no,no,no,no,,,0,,,
XEM,no,no,no,no,no,ccxt_gateio,XEM/USDT,552,85245206.72142239,,
XLM,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
XMR,no,no,no,no,no,ccxt_kucoin,XMR/USDT,227,1558943439.0197845,,
XNO,no,no,no,no,no,,,0,,,
XPL,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
XRP,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
XTZ,no,no,no,no,no,,,0,,,
XVG,no,no,no,no,no,,,0,,,
XVS,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
YALA,no,no,no,no,no,,,0,,,
YB,no,no,no,no,no,,,0,,,
YFI,no,no,no,no,no,,,0,,,
YFII,no,no,no,no,no,ccxt_gateio,YFII/USDT,130,17337819.808891542,,
YGG,no,no,no,no,no,,,0,,,
ZAMA,no,yes,no,no,no,,,0,,true_data_gap,
ZBT,no,no,no,no,no,,,0,,,
ZEC,no,no,no,no,no,,,0,,,
ZEN,no,no,no,no,no,,,0,,,
ZIL,no,no,no,no,no,,,0,,,
ZKC,no,no,no,no,no,,,0,,,
ZKJ,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
ZKP,no,yes,no,no,no,,,0,,true_data_gap,
ZRC,no,no,no,no,no,,,0,,,
ZRO,no,yes,no,no,no,,,0,,true_data_gap,
ZRX,no,no,no,no,no,,,0,,,
